SKU,EAN,Title,Description,Tags,Price,Soggeto iv o no,Quantità,Immagini
,,10 Fiera,,,10,soggeto iv,0,
01244,9788863554434,100 Serie tv in Pillole - Manuale per malati seriali,100 Serie tv in Pillole - Manuale per malati seriali,"LIBRI, nessuno",14.9,no,2,https://cdn.shopify.com/s/files/1/0701/5248/7187/files/100-serie-tv-in-pillole-manuale-per-malati-seriali-magic-dreams-store.png?v=1707293922
01245,9788863555097,100 Serie tv in Pillole - Manuale per malati seriali recidivi,"""<em>Non c'è cura per un malato seriale. Ormai lo sappiamo bene. E allora siamo qui a somministrarvi una nuova dose dedicata ad altre 100 serie tv che hanno fatto la storia del piccolo schermo. Vi avevamo lasciato sul più bello, come durante il finale del vostro show preferito, perché c'era ancora tanta altra serialità da celebrare. Lo faremo con una seconda stagione di serie tv imperdibili, da riscoprire o da recuperare. 100 nuovi show per un'intensa e imperdibile sessione di binge-reading</em>.""","LIBRI, nessuno",16.9,no,2,https://cdn.shopify.com/s/files/1/0701/5248/7187/files/100-serie-tv-in-pillole-manuale-per-malati-seriali-recidivi-magic-dreams-store.jpg?v=1707293925
PYR5677,5050293855677,2 PACK MASCHERINE GRIFONDORO COTONE - HARRY POTTER,2 PACK MASCHERINE GRIFONDORO COTONE - HARRY POTTER,"ACCESSORI, GADGET E MERCHANDISING, HARRY POTTER, MERCHANDISING, MOVIES",9.9,soggeto iv,1,https://cdn.shopify.com/s/files/1/0701/5248/7187/files/2-pack-mascherine-grifondoro-cotone-harry-potter-magic-dreams-store.jpg?v=1707291820
PYR5684,123456789,2 PACK MASCHERINE SERPEVERDE COTONE - HARRY POTTER,2 PACK MASCHERINE SERPEVERDE COTONE - HARRY POTTER,"ACCESSORI, GADGET E MERCHANDISING, HARRY POTTER, MERCHANDISING, MOVIES",9.9,soggeto iv,0,https://cdn.shopify.com/s/files/1/0701/5248/7187/files/1_008a052d-dc68-42b7-9fd5-d04c3d9553d4.jpg?v=1700078041
PYR5554,5050293855554,2 PACK MASCHERINE SORRISO JOKER COTONE - BATMAN,2 PACK MASCHERINE SORRISO JOKER COTONE - BATMAN,"ACCESSORI, BATMAN, GADGET E MERCHANDISING, MERCHANDISING, MOVIES",9.9,soggeto iv,0,"https://cdn.shopify.com/s/files/1/0701/5248/7187/files/71P6kf_KUxL._AC_SL1500.jpg?v=1700477988, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/61fNmENlcjL._AC_SL1500.jpg?v=1700477998, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/51p9HvWBzvL._AC_SL1500.jpg?v=1700478000"
FUN4827,887961374827,2 PACK MINIFIGURES MYSTERY 3 CM - MY MINI MIXIE Q'S,2 PACK MINIFIGURES MYSTERY 3 CM - MY MINI MIXIE Q'S,"ACTION AND FIGURE, ACTION FIGURES, Funko POP, MOVIES, MYSTERY MINIS",3.5,soggeto iv,0,"https://cdn.shopify.com/s/files/1/0701/5248/7187/files/715WdABkE4L._AC_SL1500.jpg?v=1700478044, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/71Fhb53TZ1L._AC_SL1396.jpg?v=1700478047, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/71Fhb53TZ1L._AC_SL1396_039a7e5b-fc92-4a6f-9105-e14fae2912eb.jpg?v=1700478049"
WET8680,9420024728680,2 PACK SPILLE MINAS TIRITH E MONTE FATO - IL SIGNORE DEGLI ANELLI,2 PACK SPILLE MINAS TIRITH E MONTE FATO - IL SIGNORE DEGLI ANELLI,"ACTION AND FIGURE, ACTION FIGURES, IL SIGNORE DEGLI ANELLI, MOVIES",9.9,soggeto iv,0,https://cdn.shopify.com/s/files/1/0701/5248/7187/files/1_80e52240-7207-495a-9db7-f29fc7f34553.jpg?v=1700082216
KIN9209,8710125559209,2 Puzzle da 1000 Pezzi - Classici Disney e Pricipesse - DISNEY,"2 Puzzle da 1000 Pezzi - Classici Disney e Pricipesse - DISNEY
<p data-mce-fragment=""1"">Esalta il tuo amore per i classici Disney con i puzzle da 1000 pezzi! Con delicati dettagli e colori vivaci, questi puzzle ti porteranno in un mondo di magia e fantasia. Ideali per stimolare la concentrazione e la coordinazione, i puzzle principesse potranno essere esposti come opere d'arte una volta completati.</p>","DISNEY, GADGET E MERCHANDISING, GIOCHI DA TAVOLO, MERCHANDISING, MOVIES, PUZZLE",19.9,soggeto iv,3,https://cdn.shopify.com/s/files/1/0701/5248/7187/files/2-puzzle-da-1000-pezzi-classici-disney-e-pricipesse-disney-magic-dreams-store.jpg?v=1707290590
KAW6184,28057946406184,2EYE-B ROSSE CON BORDO NERO ANNUALI 14 MM - LENTI A CONTATTO,<p>2EYE-B ROSSE CON BORDO NERO ANNUALI 14 MM - LENTI A CONTATTO</p>,"ABBIGLIAMENTO, ABBIGLIAMENTO COSPLAY, ABBIGLIAMENTO COSPLAY E COSTUMI, LENTI A CONTATTO",10.5,soggeto iv,0,https://cdn.shopify.com/s/files/1/0701/5248/7187/files/KAW6184_P.jpg?v=1700478064
KAW6177,8057946406177,2EYE-G OCRA CON BORDO NERO ANNUALI 14 MM - LENTI A CONTATTO,<p>2EYE-G OCRA CON BORDO NERO ANNUALI 14 MM - LENTI A CONTATTO</p>,"ABBIGLIAMENTO, ABBIGLIAMENTO COSPLAY, ABBIGLIAMENTO COSPLAY E COSTUMI, LENTI A CONTATTO",10.5,soggeto iv,0,https://cdn.shopify.com/s/files/1/0701/5248/7187/files/KAW6177_P.jpg?v=1700478077
MA_8436607940616,8436607940616,3 Ring Circus,"<span data-mce-fragment=""1"">Il circo è arrivato in città!</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Sotto il tendone, giocolieri, clown, maghi, forzuti e bestie selvagge catturano la curiosità di un pubblico affezionato che applaude senza sosta.</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Dopo ogni esibizione, la vostra piccola troupe accumula fama e potrebbe un giorno suscitare l'interesse di P.T. Barnum, il più grande magnate del circo di tutti i tempi.In 3 Ring Circus, i giocatori assumono il ruolo di un direttore di circo che gira per gli Stati Uniti alla fine del XIX secolo. L'obiettivo è assumere artisti e offrire spettacoli in varie città con l'intento di guadagnare fama. Nelle città, gli spettacoli sono facili da allestire e vi danno le risorse iniziali per migliorare il vostro cast; le piccole città sono un po' più esigenti, ma vi permettono di entrare in contatto con artisti migliori; il pubblico delle grandi città è ancora più esigente e vuole vedere numeri molto specifici, ma esibirsi lì vi porta molta più fama! Al proprio turno, i giocatori possono assumere un artista o ospitare uno spettacolo. All'inizio della partita, i circhi di ciascun giocatore sono vuoti, quindi sarà necessario stipulare un contratto per formare la compagnia. Le carte artista garantiscono più o meno vantaggi a seconda dell'ordine in cui agiscono, quindi una delle chiavi del gioco è la pianificazione degli spettacoli che verranno offerti.Se decidono di agire, i giocatori devono spostarsi in uno spazio libero sulla mappa. Se si tratta di una città, ricevono in premio le carte valuta più semplici. Se ci si esibisce in una piccola città, a seconda del numero di piedistalli che si hanno nella propria compagnia si possono richiedere più o meno carte ingresso (il secondo più prezioso) o punti fama. Mentre il vostro piccolo circo cerca di sopravvivere, il grande e splendido Circo Barnum viaggia attraverso il paese e, quando arriva in una grande città, si tiene una classifica in quella regione e i circhi che vi si sono esibiti di più guadagnano ancora più fama.</span>",GIOCHI DA TAVOLO,34.9,soggeto iv,0,https://cdn.shopify.com/s/files/1/0701/5248/7187/files/3-ring-circus-magic-dreams-store.jpg?v=1707278497
TE_889698724371,889698724371,300: Funko Pop! - Movies - Dilios #1472,"<p data-mce-fragment=""1"">Un guerriero Sparta, il Funko Pop! di Dilios è perfetto per i fan di ""300"". Mostra il tuo spirito di battaglia con questo personaggio di collezione.</p>
<p data-mce-fragment=""1"">9 cm</p>","300, Funko POP",17.9,soggeto iv,3,"https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-dilios-1472-magic-dreams-store-1.jpg?v=1707294386, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-dilios-1472-magic-dreams-store-2.jpg?v=1707294388, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-dilios-1472-magic-dreams-store-3.jpg?v=1707294391, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-dilios-1472-magic-dreams-store-4.jpg?v=1707294393, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-dilios-1472-magic-dreams-store-5.jpg?v=1707294395"
